Column,Type,Description,Missing (%),Unique Values,Example Values
age,int64,Age of the patient in years,0.0%,41,"[52, 53, 70]"
target,int64,"Diagnosis of heart disease (1 = disease present, 0 = no disease) - prediction target",0.0%,2,"[0, 0, 0]"
sex,int64,"Sex of the patient (1 = male, 0 = female)",0.0%,2,"[1, 1, 1]"
cp,int64,"Chest pain type (0 = typical angina, 1 = atypical angina, 2 = non-anginal pain, 3 = asymptomatic)",0.0%,4,"[0, 0, 0]"
trestbps,int64,Resting blood pressure in mm Hg on admission to the hospital,0.0%,49,"[125, 140, 145]"
chol,int64,Serum cholesterol in mg/dl,0.0%,152,"[212, 203, 174]"
fbs,int64,"Fasting blood sugar > 120 mg/dl (1 = true, 0 = false)",0.0%,2,"[0, 1, 0]"
restecg,int64,"Resting electrocardiographic results (0 = normal, 1 = ST-T wave abnormality, 2 = probable/definite left ventricular hypertrophy)",0.0%,3,"[1, 0, 1]"
thalach,int64,Maximum heart rate achieved during exercise testing,0.0%,91,"[168, 155, 125]"
exang,int64,"Exercise-induced angina (1 = yes, 0 = no)",0.0%,2,"[0, 1, 1]"
oldpeak,float64,ST depression induced by exercise relative to rest,0.0%,40,"[1.0, 3.1, 2.6]"
slope,int64,"Slope of the peak exercise ST segment (0 = upsloping, 1 = flat, 2 = downsloping)",0.0%,3,"[2, 0, 0]"
ca,int64,Number of major vessels (0-4) colored by fluoroscopy,0.0%,5,"[2, 0, 0]"
thal,int64,"Thalassemia blood disorder result (0 = normal/not tested, 1 = fixed defect, 2 = normal, 3 = reversible defect)",0.0%,4,"[3, 3, 3]"
